run_folder,algorithm,var_nm3,var_nm10,var_nm4,var_wnm2,var_wpm5,var_lpm5,var_wnm0,var_lpm0,var_capv,obj_Gain,obj_PM,pass_fail,run_id,is_real
nsga2_20260827_141853,nsga2,6.272966629600457,6.302370685098614,13.822066811912656,3.444793976382e-05,5.250422785899477e-05,4.911539410358523e-06,5.101034719347641e-05,3.583740721448685e-06,2.553406341359505e-12,81.33,68.56,FAIL,,
nsga2_20260827_141853,nsga2,6.687335556911206,13.322778293213352,2.12577328228637,3.944606489436121e-06,2.811645147771436e-05,4.857939081768927e-06,4.881251864827466e-05,3.860008274722297e-06,1.870517874540717e-12,73.54,136.7,FAIL,,
nsga2_20260827_141853,nsga2,6.272454574670261,13.30358208559648,14.217788323854036,3.249399686521677e-05,2.811645147771436e-05,4.857939081768927e-06,4.978390987660292e-05,3.5868763061847745e-06,2.3224230868858308e-12,78.58,130.6,FAIL,,
nsga2_20260827_141853,nsga2,3.647676483488625,7.0508891569125645,8.273936138344718,4.448611117926501e-05,3.075808670108791e-05,9.713388497960056e-06,8.266732559314527e-05,3.979540121124682e-06,3.7771930712567926e-12,79.61,128.4,FAIL,,
nsga2_20260827_141853,nsga2,3.0107079838852018,16.77298100179959,17.883130861221215,1.896641146742638e-05,7.261114645643987e-05,7.54271246579274e-06,4.32323235394835e-05,8.629694560520226e-06,9.809207644557904e-12,80.12,105.2,FAIL,,
nsga2_20260827_141853,nsga2,6.272966629600457,6.302370685098614,13.822066811912656,3.444793976382e-05,5.269121205589612e-05,4.911539410358523e-06,5.101034719347641e-05,3.583740721448685e-06,2.553406341359505e-12,81.34,68.29,FAIL,,
nsga2_20260827_141853,nsga2,6.2729786699653625,13.499678164454927,13.83536877539714,3.449699895253788e-05,5.244093430796958e-05,4.911539410358523e-06,4.978917419785871e-05,3.583754945924777e-06,2.5595261308216385e-12,81.13,76.13,FAIL,,
nsga2_20260827_174615,nsga2,4.890338096737728,5.946356397667664,15.778393222391696,2.58641098353348e-05,3.898873375044416e-05,7.947452691513881e-06,7.757098764640686e-05,7.364544609042903e-06,9.25519791559378e-12,83.91,140.39999999999998,FAIL,,
nsga2_20260827_174615,nsga2,6.2602870198512,2.688116188274309,15.437238063909444,2.594860870172957e-05,1.18518015633358e-05,6.740812347186168e-06,7.77353064999271e-05,6.323531360003884e-06,9.255679343118123e-12,76.61,142.20000000000002,FAIL,,
nsga2_20260827_181447,nsga2,6.66509872249107,15.093376921317278,14.721131354700232,1.1170156601069584e-05,8.303972136514893e-05,6.74769600329581e-06,6.798976773653646e-05,8.242517831095783e-06,6.849233265952594e-12,78.4,119.5,FAIL,,
nsga2_20260827_181447,nsga2,15.692263183327512,1.5765741455869526,14.432336817456846,1.889991852388e-05,9.358015536374508e-06,6.774750640565e-06,9.316694631771304e-05,2.4683160967695117e-06,7.682597209816312e-12,40.35,154.8,FAIL,,
nsga2_20260827_181447,nsga2,6.66509872249107,15.093376921317278,14.721131354700232,1.773326946285629e-05,8.303972136514893e-05,6.74769600329581e-06,6.798976773653646e-05,8.242517831095783e-06,6.849233265952594e-12,84.78,44.93999999999999,FAIL,,
nsga2_20260827_181447,nsga2,6.66509872249107,15.093376921317278,14.721131354700232,1.1170156601069584e-05,8.303972136514893e-05,6.74769600329581e-06,6.798976773653646e-05,8.289935120620506e-06,6.822630953035119e-12,76.68,120.0,FAIL,,
nsga2_20260828_001842,nsga2,3.646532366260545,4.408371293770228,8.352725931580943,3.22832940307416e-05,2.8590069353228078e-05,8.374674606380945e-06,5.9802542480561646e-05,4.03683615577536e-06,9.56957711038207e-12,79.86,154.2,FAIL,20260828_001842,1
