run_folder,algorithm,generation,evaluations,var_nm3,var_nm10,var_nm4,var_wnm2,var_wpm5,var_lpm5,var_wnm0,var_lpm0,var_capv,obj_Gain,obj_PM,pass_fail,run_id,is_real
nsga2_20260828_001842,nsga2,30,600,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,31,620,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,32,640,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,33,660,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,34,680,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,35,700,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,36,720,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,37,740,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,38,760,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,39,780,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,40,800,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,41,820,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,42,840,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,43,860,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,44,880,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,45,900,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,46,920,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,47,940,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,48,960,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,49,980,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,50,1000,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_081956,nsga2,1,20,10.615233528058086,15.916620559342222,6.60512241330487,3.850795646748557e-05,5.270526345927673e-05,1.9159562220217693e-06,9.650728407477964e-05,4.315544126940916e-06,3.657108300964262e-12,47.82,125.6,FAIL,20260828_081956,1
